Date,Latitude,Longitude,Temperature,Precipitation
2016-03-27,100.983,13.367,84.3,99.99
2016-03-31,100.983,13.367,86.2,99.99
2016-03-26,100.983,13.367,86.2,0.0
2016-04-07,100.983,13.367,88.0,0.0
2016-03-20,100.983,13.367,87.0,0.0
2016-03-29,100.983,13.367,85.3,0.0
2016-03-30,100.983,13.367,86.4,0.06
2016-03-19,100.983,13.367,86.9,0.0
2016-03-21,100.983,13.367,86.3,0.0
2016-04-03,100.983,13.367,87.7,0.0
2016-03-22,100.983,13.367,87.0,0.0
2016-04-08,100.983,13.367,88.1,0.0
2016-04-01,100.983,13.367,86.3,0.0
2016-04-05,100.983,13.367,88.0,0.0
2016-03-25,100.983,13.367,87.1,0.0
2016-04-06,100.983,13.367,88.6,0.0
2016-03-28,100.983,13.367,85.2,99.99
2016-03-23,100.983,13.367,87.9,0.0
2016-04-04,100.983,13.367,87.9,0.0
2016-04-02,100.983,13.367,87.2,0.0
2016-03-24,100.983,13.367,88.4,0.0
